Date,NDVI_FishIsland,NDVI_Footprint,NDVI_FishIsland_Daily
28-Apr-09,-0.067,-0.067,-0.098
29-Apr-09,-0.066,-0.067,-0.082
30-Apr-09,-0.067,-0.066,-0.096
1-May-09,-0.065,-0.066,-0.095
2-May-09,-0.064,-0.065,-0.074
3-May-09,-0.066,-0.066,-0.064
4-May-09,-0.067,-0.068,-0.037
5-May-09,-0.073,-0.073,-0.058
6-May-09,-0.073,-0.071,-0.036
7-May-09,-0.072,-0.071,-0.047
8-May-09,-0.07,-0.07,-0.038
9-May-09,-0.068,-0.065,-0.048
10-May-09,-0.049,-0.052,-0.077
11-May-09,-0.049,-0.052,-0.042
12-May-09,-0.055,-0.054,-0.092
13-May-09,-0.059,-0.059,-0.016
14-May-09,-0.066,-0.062,-0.056
15-May-09,-0.065,-0.06,-0.066
16-May-09,-0.076,-0.075,-0.034
17-May-09,-0.09,-0.088,-0.059
18-May-09,-0.086,-0.081,-0.036
19-May-09,-0.086,-0.081,-0.079
20-May-09,-0.085,-0.081,-0.079
21-May-09,-0.085,-0.081,-0.099
22-May-09,-0.086,-0.087,-0.088
23-May-09,-0.085,-0.087,-0.06
24-May-09,-0.083,-0.087,-0.087
25-May-09,-0.083,-0.08,-0.093
26-May-09,-0.083,-0.08,-0.078
27-May-09,-0.083,-0.081,-0.077
28-May-09,-0.083,-0.078,-0.083
29-May-09,-0.085,-0.081,-0.079
30-May-09,-0.09,-0.086,-0.065
31-May-09,-0.091,-0.087,-0.09
1-Jun-09,-0.089,-0.087,-0.087
2-Jun-09,-0.087,-0.087,-0.113
3-Jun-09,-0.088,-0.085,-0.168
4-Jun-09,-0.18,-0.188,-0.28
5-Jun-09,-0.195,-0.153,-0.265
6-Jun-09,-0.186,-0.174,-0.114
7-Jun-09,-0.136,-0.132,-0.032
8-Jun-09,-0.106,-0.119,0.071
9-Jun-09,-0.032,-0.083,0.061
10-Jun-09,0.035,-0.066,0.042
11-Jun-09,0.137,-0.039,-0.013
12-Jun-09,0.172,0.18,-0.032
