datetime,NEE,NME
2017-08-02 01:00:00-06:00,0.7891613622506459,9.04323051770528
2017-08-02 01:30:00-06:00,1.3232339998086293,19.53484598795573
2017-08-02 02:00:00-06:00,1.2774907231330872,20.500001748402912
2017-08-02 02:30:00-06:00,1.0443032741546632,17.680930360158285
2017-08-02 03:00:00-06:00,1.1886681099732717,20.867363770802815
2017-08-02 03:30:00-06:00,1.1046930054823558,18.984790229797362
2017-08-02 04:00:00-06:00,1.1270931879679362,19.312690019607544
2017-08-02 04:30:00-06:00,0.8493452966213226,23.94329261779785
2017-08-02 05:00:00-06:00,0.7652203818162282,18.884885915120442
2017-08-02 05:30:00-06:00,0.5696685746312141,18.974800459543864
2017-08-02 06:00:00-06:00,0.45143543034791944,16.677945200602213
2017-08-02 06:30:00-06:00,0.2810661153596205,20.2825112024943
2017-08-02 07:00:00-06:00,0.008509016145641606,19.38047825495402
2017-08-02 07:30:00-06:00,-0.45949637740850446,23.226568603515624
2017-08-02 08:00:00-06:00,-0.9693190673987071,29.71875343322754
2017-08-02 08:30:00-06:00,-0.9649278680483501,30.234881846110024
2017-08-02 09:00:00-06:00,-1.302348518371582,27.96575647989909
2017-08-02 09:30:00-06:00,-1.2862923622131348,31.57641665140788
2017-08-02 10:00:00-06:00,-2.1245177149772645,37.10192400614421
2017-08-02 10:30:00-06:00,-1.8659309983253478,35.236251513163246
2017-08-02 11:00:00-06:00,-2.180852981408437,39.944189453125
2017-08-02 11:30:00-06:00,-2.0200658440589905,37.72348721822103
2017-08-02 12:00:00-06:00,-2.009629813830058,40.50993728637695
2017-08-02 12:30:00-06:00,-1.4967756112416586,27.987307357788087
2017-08-02 13:00:00-06:00,-1.8739245335261028,35.98230686187744
2017-08-02 13:30:00-06:00,-1.6239418625831603,35.98749408721924
2017-08-02 14:00:00-06:00,-1.782653260231018,42.949868774414064
2017-08-02 14:30:00-06:00,-1.5052340785662333,39.38658358256022
2017-08-02 15:00:00-06:00,-1.8285743872324625,39.257106399536134
2017-08-02 15:30:00-06:00,-1.3454322576522828,40.25809885660807
2017-08-02 16:00:00-06:00,-1.6162088632583618,42.69115816752116
2017-08-02 16:30:00-06:00,-1.5326741139094036,40.70689430236816
2017-08-02 17:00:00-06:00,-1.4469280560811362,38.199938710530596
2017-08-02 17:30:00-06:00,-1.4556565205256145,36.038147417704266
2017-08-02 18:00:00-06:00,-1.5697412848472596,39.438209025065106
2017-08-02 18:30:00-06:00,-1.3433818658192953,30.241263834635415
2017-08-02 19:00:00-06:00,-1.6146705945332844,35.33253002166748
2017-08-02 19:30:00-06:00,-1.440084489186605,34.51152076721191
2017-08-02 20:00:00-06:00,-1.4204980810483296,30.88395601908366
2017-08-02 20:30:00-06:00,-1.3993678788344066,29.22426617940267
